22:01:55 13/09, info: cam1: 15 fps, 23kb/s, 
22:01:56 13/09, info: cam1: 15 fps, 23kb/s, 
22:01:56 13/09, info: cam1: 14 fps, 23kb/s, 
22:01:56 13/09, info: cam1: 14 fps, 23kb/s, 
22:01:56 13/09, info: cam1: 14 fps, 23kb/s, 
22:01:57 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:57 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:57 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:57 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:58 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:58 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:58 13/09, info: cam1: 9 fps, 193kb/s, 
22:01:58 13/09, info: cam1: 9 fps, 193kb/s, 
22:01:59 13/09, info: cam1: 9 fps, 193kb/s, 
22:01:59 13/09, info: cam1: 9 fps, 193kb/s, 
22:01:59 13/09, info: cam1: 23 fps, 334kb/s, 
22:01:59 13/09, info: cam1: 23 fps, 334kb/s, 
22:02:00 13/09, info: cam1: 23 fps, 334kb/s, 
22:02:00 13/09, info: cam1: 23 fps, 334kb/s, 
22:02:00 13/09, info: cam1: 14 fps, 126kb/s, 
22:02:00 13/09, info: cam1: 14 fps, 126kb/s, 
22:02:01 13/09, info: cam1: 14 fps, 126kb/s, 
